Time;Urban, 9m;Urban, 13m;Coach, 13m;Urban, 13m, double deck;Coach, 13m, double deck;Urban, 18m;Target speed, city;Target speed, coach
92;17.5051;16.6374;50;18.2936;50;18.0797;33.8;50
93;21.1051;19.5634;50;21.8936;50;21.5657;33.8;50
94;24.518;22.2958;50;25.4848;50;24.9201;33.8;50
95;27.6718;24.525;50;28.9852;50;28.0327;33.8;50
96;30.378;26.4616;50;32.2216;50;30.6548;33.8;50
97;32.4854;28.6063;50;33.7744;50;32.743;33.8;50
98;33.6138;30.5474;50;33.8;50;33.7592;33.8;50
99;33.8;31.9583;50;33.8;50;33.8;33.8;50
100;33.8;33.1065;50;33.8;50;33.8;33.8;50
101;33.8;33.7305;50;33.8;50;33.8;33.8;50
102;33.8;33.8;50;33.8;50;33.8;33.8;50
103;33.8;33.8;50;33.8;50;33.8;33.8;50
104;33.8;33.8;50;33.8;50;33.8;33.8;50
105;33.8;33.8;50;33.8;50;33.8;33.8;50
106;33.8;33.8;50;33.8;50;33.8;33.8;50
107;33.8;33.8;50;33.8;50;33.8;33.8;50
108;33.8;33.8;50;33.8;50;33.8;33.8;50
109;33.8;33.8;50;33.8;50;33.8;33.8;50
110;32.8647;33.8;50;32.033;50;32.6668;33.8;50
111;30.1294;32.2929;50;28.466;50;29.7336;33.8;50
112;26.5294;28.9858;50;24.866;50;26.1336;33.8;50
113;22.9294;25.3858;50;21.266;50;22.5336;33.8;50
114;19.3294;21.7858;50;17.666;50;18.9336;33.8;50
115;15.7704;18.1858;50;14.883;50;15.5168;32.269;50
116;13.9557;15.1429;50;13.9;50;13.9;13.9;50
117;14.081;13.9;50;14.1199;50;14.288;15.0879;50
118;15.798;14.2924;50;16.0217;50;16.2969;18.4;50
119;17.8671;15.9488;50;18.0517;50;18.1589;18.4;50
120;18.4;17.8064;50;18.4;50;18.4;18.4;50
121;18.4;18.4;50;18.4;50;18.4;18.4;50
122;18.014;18.4;50;18.0655;50;17.8223;18.4;50
123;15.9114;17.4896;50;15.9908;50;15.515;18.4;50
124;12.4781;14.901;50;12.5106;50;12.0559;18.4;50
125;9.0449;11.5448;50;9.0303;50;8.6048;18.4;50
126;5.6871;8.2103;50;5.6281;50;5.2327;18.4;50
127;2.4052;4.9433;50;2.3074;50;1.9315;18.4;50
128;0.3823;1.7222;50;0.3244;50;0.1405;1.566;50
129;0;0.0558;50;0;50;0;0;50
130;0;0;50;0;50;0;0;50
131;0;0;50;0;50;0;0;50
132;0;0;50;0;50;0;0;50
133;1.0206;0;50;1.0879;50;1.2868;20.6603;50
134;3.8413;1.3776;50;3.9758;50;4.3736;28.9;50
135;7.4413;4.5552;50;7.5758;50;7.9736;28.9;50
136;11.0413;8.1552;50;11.1758;50;11.5736;28.9;50
137;14.6413;11.7552;50;14.7758;50;15.1736;28.9;50
138;18.2413;15.3552;50;18.3758;50;18.7736;28.9;50
139;21.8413;18.9552;50;21.9758;50;22.3736;28.9;50
140;25.4325;22.4504;50;25.5658;50;25.9599;28.9;50
141;28.0618;25.4675;50;28.1279;50;28.3231;28.9;50
142;28.9;27.8354;50;28.9;50;28.9;28.9;50
143;28.9;28.8907;50;28.9;50;28.9;28.9;50
144;28.9;28.9;50;28.9;50;28.9;28.9;50
145;28.9;28.9;50;28.9;50;28.9;28.9;50
146;28.9;28.9;50;28.9;50;28.9;28.9;50
147;28.9;28.9;50;28.9;50;28.9;28.9;50
148;28.9;28.9;50;28.9;50;28.9;28.9;50
149;28.9;28.9;50;28.9;50;28.9;28.9;50
150;28.9;28.9;50;28.9;50;28.9;28.9;50
151;28.9;28.9;50;28.9;50;28.9;28.9;50
152;28.9;28.9;50;28.9;50;28.9;28.9;50
153;28.9;28.9;50;28.9;50;28.9;28.9;50
154;28.9;28.9;50;28.9;50;28.9;28.9;50
155;28.9;28.9;50;28.9;50;28.9;28.9;50
156;28.9;28.9;50;28.9;50;28.9;28.9;50
157;28.9;28.9;50;28.9;50;28.9;28.9;50
158;28.9;28.9;50;28.9;50;28.9;28.9;50
159;28.9;28.9;50;28.9;50;28.9;28.9;50
160;27.5604;28.9;50;27.497;50;27.3096;28.9;50
161;24.5246;27.651;50;24.3979;50;24.023;28.9;50
162;21.1323;24.602;50;21.0056;50;20.6307;28.9;50
