country;year;value
HT;2005;0
HT;2010;0
HT;2015;0
HT;2016;0
HT;2017;0
HT;2018;0
HU;2000;0
HU;2005;0
HU;2010;0
HU;2015;0
HU;2016;0
HU;2017;0
HU;2018;0
ID;2000;0
ID;2005;0
ID;2010;0
ID;2015;0
ID;2016;0
ID;2017;0
ID;2018;0
IN;2000;0
IN;2005;0
IN;2010;0
IN;2015;0
IN;2016;0
IN;2017;0
IN;2018;0
IE;2000;0
IE;2005;0
IE;2010;0
IE;2015;0
IE;2016;0
IE;2017;0
IE;2018;0
IR;2000;0
IR;2005;0
IR;2010;0
IR;2015;0
IR;2016;0
IR;2017;0
IR;2018;0
IQ;2000;0
IQ;2005;0
IQ;2010;0
IQ;2015;0
IQ;2016;0
IQ;2017;0
IQ;2018;0
IS;2000;0
IS;2005;0
IS;2010;1
IS;2015;1
IS;2016;1
IS;2017;1
IS;2018;1
IL;2000;0
IL;2005;0
IL;2010;0
IL;2015;0
IL;2016;0
IL;2017;0
IL;2018;0
IT;2000;0
IT;2005;0
IT;2010;3.44E-05
IT;2015;2.65E-05
IT;2016;2.67E-05
IT;2017;2.82E-05
IT;2018;2.79E-05
JM;2000;0
JM;2005;0
JM;2010;0
JM;2015;0
JM;2016;0
JM;2017;0
JM;2018;0
JO;2000;0
JO;2005;0
JO;2010;0
JO;2015;0
JO;2016;0
JO;2017;0
JO;2018;0
JP;2000;0
JP;2005;0
JP;2010;0
JP;2015;0
JP;2016;0
JP;2017;0
JP;2018;0
KZ;2000;0
KZ;2005;0
KZ;2010;0
KZ;2015;0
KZ;2016;0
KZ;2017;0
KZ;2018;0
KE;2000;0
KE;2005;0
KE;2010;0
KE;2015;0
KE;2016;0
KE;2017;0
KE;2018;0
KG;2000;0
KG;2005;0
KG;2010;0
KG;2015;0
KG;2016;0
KG;2017;0
KG;2018;0
KH;2000;0
KH;2005;0
KH;2010;0
KH;2015;0
KH;2016;0
KH;2017;0
KH;2018;0
KR;2000;0
KR;2005;0
KR;2010;0
KR;2015;0
KR;2016;0
KR;2017;0
KR;2018;0
KW;2000;0
KW;2005;0
KW;2010;0
KW;2015;0
KW;2016;0
KW;2017;0
KW;2018;0
LB;2000;0
LB;2005;0
LB;2010;0
LB;2015;0
LB;2016;0
LB;2017;0
LB;2018;0
LY;2000;0
LY;2005;0
LY;2010;0
LY;2015;0
LY;2016;0
LY;2017;0
LY;2018;0
LK;2000;0
LK;2005;0
LK;2010;0
LK;2015;0
LK;2016;0
LK;2017;0
LK;2018;0
LT;2000;0
LT;2005;0
LT;2010;0
LT;2015;0
LT;2016;0
LT;2017;0
LT;2018;0
LU;2000;0
LU;2005;0
LU;2010;0
LU;2015;0
LU;2016;0
LU;2017;0
LU;2018;0
LV;2000;0
LV;2005;0
LV;2010;0
LV;2015;0
LV;2016;0
LV;2017;0
LV;2018;0
MA;2000;0
MA;2005;0
MA;2010;0
MA;2015;0
MA;2016;0
MA;2017;0
MA;2018;0
MU;2000;0
MU;2005;0
MU;2010;0
MU;2015;0
MU;2016;0
MU;2017;0
MU;2018;0
MD;2000;0
MD;2005;0
MD;2010;0
MD;2015;0
MD;2016;0
MD;2017;0
MD;2018;0
MX;2000;0
MX;2005;0
MX;2010;0
MX;2015;0
MX;2016;0
MX;2017;0
MX;2018;0
MT;2000;0
MT;2005;0
MT;2010;0
MT;2015;0
MT;2016;0
MT;2017;0
MT;2018;0
MM;2000;0
MM;2005;0
MM;2010;0
MM;2015;0
MM;2016;0
MM;2017;0
MM;2018;0
ME;2000;0
ME;2005;0
ME;2010;0
ME;2015;0
ME;2016;0
ME;2017;0
ME;2018;0
MN;2000;0
MN;2005;0
MN;2010;0
MN;2015;0
MN;2016;0
MN;2017;0
MN;2018;0
MZ;2000;0
MZ;2005;0
MZ;2010;0
MZ;2015;0
MZ;2016;0
MZ;2017;0
MZ;2018;0
MY;2000;0
MY;2005;0
MY;2010;0
MY;2015;0
MY;2016;0
MY;2017;0
MY;2018;0
NA;2000;0
NA;2005;0
NA;2010;0
NA;2015;0
NA;2016;0
NA;2017;0
NA;2018;0
NE;2000;0
NE;2005;0
NE;2010;0
NE;2015;0
NE;2016;0
NE;2017;0
NE;2018;0
NG;2000;0
NG;2005;0
NG;2010;0
NG;2015;0
NG;2016;0
NG;2017;0
NG;2018;0
NI;2000;0
NI;2005;0
NI;2010;0
NI;2015;0
NI;2016;0
NI;2017;0
NI;2018;0
NL;2000;0
NL;2005;0
NL;2010;0
NL;2015;0
NL;2016;0
NL;2017;0
NL;2018;0
NO;2000;0.25
NO;2005;0.3
NO;2010;0.320795573
NO;2015;0.320795573
NO;2016;0.308975745
NO;2017;0.307792584
NO;2018;0.382813676
MK;2000;0
MK;2005;0
MK;2010;0
MK;2015;0
MK;2016;0
MK;2017;0
MK;2018;0
NP;2000;0
NP;2005;0
NP;2010;0
NP;2015;0
NP;2016;0
NP;2017;0
NP;2018;0
NZ;2000;0
NZ;2005;0
NZ;2010;0
NZ;2015;0
NZ;2016;0
NZ;2017;0
NZ;2018;0
OM;2000;0
OM;2005;0
