;;Human health, normalized;Terrestrial ecosystems, normalized;Freshwater ecosystems, normalized;Marine ecosystems, normalized;Resources, normalized
;;points;points;points;points;points
;;;;;;
_lci_direct_noise, octave 4, day time, urban;noise, octave 4, day time, urban;8.69E-06;0;0;0;0
_lci_direct_noise, octave 4, evening time, rural;noise, octave 4, evening time, rural;7.15E-07;0;0;0;0
_lci_direct_noise, octave 4, evening time, suburban;noise, octave 4, evening time, suburban;1.95E-05;0;0;0;0
_lci_direct_noise, octave 4, evening time, urban;noise, octave 4, evening time, urban;1.63E-05;0;0;0;0
_lci_direct_noise, octave 4, night time, rural;noise, octave 4, night time, rural;1.27E-06;0;0;0;0
_lci_direct_noise, octave 4, night time, suburban;noise, octave 4, night time, suburban;3.47E-05;0;0;0;0
_lci_direct_noise, octave 4, night time, urban;noise, octave 4, night time, urban;2.76E-05;0;0;0;0
_lci_direct_noise, octave 5, day time, rural;noise, octave 5, day time, rural;5.7E-07;0;0;0;0
_lci_direct_noise, octave 5, day time, suburban;noise, octave 5, day time, suburban;1.57E-05;0;0;0;0
_lci_direct_noise, octave 5, day time, urban;noise, octave 5, day time, urban;1.25E-05;0;0;0;0
_lci_direct_noise, octave 5, evening time, rural;noise, octave 5, evening time, rural;1.02E-06;0;0;0;0
_lci_direct_noise, octave 5, evening time, suburban;noise, octave 5, evening time, suburban;2.82E-05;0;0;0;0
_lci_direct_noise, octave 5, evening time, urban;noise, octave 5, evening time, urban;2.35E-05;0;0;0;0
_lci_direct_noise, octave 5, night time, rural;noise, octave 5, night time, rural;1.81E-06;0;0;0;0
_lci_direct_noise, octave 5, night time, suburban;noise, octave 5, night time, suburban;5E-05;0;0;0;0
_lci_direct_noise, octave 5, night time, urban;noise, octave 5, night time, urban;4E-05;0;0;0;0
_lci_direct_noise, octave 6, day time, rural;noise, octave 6, day time, rural;6.06E-07;0;0;0;0
_lci_direct_noise, octave 6, day time, suburban;noise, octave 6, day time, suburban;1.79E-05;0;0;0;0
_lci_direct_noise, octave 6, day time, urban;noise, octave 6, day time, urban;8.19E-06;0;0;0;0
