name;location;unit;reference product;name ei36;location ei36;unit ei36;reference product ei36
market for chemical, inorganic;GLO;kilogram;chemical, inorganic;market for chemicals, inorganic;GLO;kilogram;chemical, inorganic
market for internal combustion engine, passenger car;GLO;kilogram;internal combustion engine, passenger car;market for internal combustion engine, passenger car;GLO;kilogram;internal combustion engine, for passenger car
treatment of used internal combustion engine, passenger car, shredding;GLO;kilogram;used internal combustion engine, passenger car;treatment of used internal combustion engine, shredding;GLO;kilogram;used internal combustion engine, from passenger car
