;;Human health;Terrestrial ecosystems;Freshwater ecosystems;Marine ecosystems;Resources
;;DALY;Species.year;Species.year;Species.year;USD2013
_lci_direct_noise, octave 4, day time, suburban;noise, octave 4, day time, suburban;2.21E-07;0;0;0;0
_lci_direct_noise, octave 4, day time, urban;noise, octave 4, day time, urban;1.76E-07;0;0;0;0
_lci_direct_noise, octave 4, evening time, rural;noise, octave 4, evening time, rural;1.45E-08;0;0;0;0
_lci_direct_noise, octave 4, evening time, suburban;noise, octave 4, evening time, suburban;3.94E-07;0;0;0;0
_lci_direct_noise, octave 4, evening time, urban;noise, octave 4, evening time, urban;3.3E-07;0;0;0;0
_lci_direct_noise, octave 4, night time, rural;noise, octave 4, night time, rural;2.58E-08;0;0;0;0
_lci_direct_noise, octave 4, night time, suburban;noise, octave 4, night time, suburban;7.02E-07;0;0;0;0
_lci_direct_noise, octave 4, night time, urban;noise, octave 4, night time, urban;5.6E-07;0;0;0;0
_lci_direct_noise, octave 5, day time, rural;noise, octave 5, day time, rural;1.15E-08;0;0;0;0
_lci_direct_noise, octave 5, day time, suburban;noise, octave 5, day time, suburban;3.19E-07;0;0;0;0
_lci_direct_noise, octave 5, day time, urban;noise, octave 5, day time, urban;2.54E-07;0;0;0;0
_lci_direct_noise, octave 5, evening time, rural;noise, octave 5, evening time, rural;2.07E-08;0;0;0;0
_lci_direct_noise, octave 5, evening time, suburban;noise, octave 5, evening time, suburban;5.72E-07;0;0;0;0
_lci_direct_noise, octave 5, evening time, urban;noise, octave 5, evening time, urban;4.77E-07;0;0;0;0
_lci_direct_noise, octave 5, night time, rural;noise, octave 5, night time, rural;3.67E-08;0;0;0;0
_lci_direct_noise, octave 5, night time, suburban;noise, octave 5, night time, suburban;1.01E-06;0;0;0;0
_lci_direct_noise, octave 5, night time, urban;noise, octave 5, night time, urban;8.09E-07;0;0;0;0
_lci_direct_noise, octave 6, day time, rural;noise, octave 6, day time, rural;1.23E-08;0;0;0;0
_lci_direct_noise, octave 6, day time, suburban;noise, octave 6, day time, suburban;3.62E-07;0;0;0;0
_lci_direct_noise, octave 6, day time, urban;noise, octave 6, day time, urban;1.66E-07;0;0;0;0
_lci_direct_noise, octave 6, evening time, rural;noise, octave 6, evening time, rural;2.26E-08;0;0;0;0
_lci_direct_noise, octave 6, evening time, suburban;noise, octave 6, evening time, suburban;6.51E-07;0;0;0;0
_lci_direct_noise, octave 6, evening time, urban;noise, octave 6, evening time, urban;5.44E-07;0;0;0;0
_lci_direct_noise, octave 6, night time, rural;noise, octave 6, night time, rural;3.98E-08;0;0;0;0
_lci_direct_noise, octave 6, night time, suburban;noise, octave 6, night time, suburban;1.15E-06;0;0;0;0
_lci_direct_noise, octave 6, night time, urban;noise, octave 6, night time, urban;9.23E-07;0;0;0;0
_lci_direct_noise, octave 7, day time, rural;noise, octave 7, day time, rural;9E-09;0;0;0;0
_lci_direct_noise, octave 7, day time, suburban;noise, octave 7, day time, suburban;3.4E-07;0;0;0;0
_lci_direct_noise, octave 7, day time, urban;noise, octave 7, day time, urban;1.56E-07;0;0;0;0
_lci_direct_noise, octave 7, evening time, rural;noise, octave 7, evening time, rural;1.82E-08;0;0;0;0
_lci_direct_noise, octave 7, evening time, suburban;noise, octave 7, evening time, suburban;6.23E-08;0;0;0;0
_lci_direct_noise, octave 7, evening time, urban;noise, octave 7, evening time, urban;5.2E-07;0;0;0;0
_lci_direct_noise, octave 7, night time, rural;noise, octave 7, night time, rural;3.09E-08;0;0;0;0
_lci_direct_noise, octave 7, night time, suburban;noise, octave 7, night time, suburban;1.1E-06;0;0;0;0
_lci_direct_noise, octave 7, night time, urban;noise, octave 7, night time, urban;8.77E-07;0;0;0;0
_lci_direct_noise, octave 8, day time, rural;noise, octave 8, day time, rural;3.1E-09;0;0;0;0
_lci_direct_noise, octave 8, day time, suburban;noise, octave 8, day time, suburban;2.99E-07;0;0;0;0
_lci_direct_noise, octave 8, day time, urban;noise, octave 8, day time, urban;1.38E-07;0;0;0;0
_lci_direct_noise, octave 8, evening time, rural;noise, octave 8, evening time, rural;8.72E-09;0;0;0;0
_lci_direct_noise, octave 8, evening time, suburban;noise, octave 8, evening time, suburban;5.77E-07;0;0;0;0
