;agricultural land occupation;climate change;fossil depletion;freshwater ecotoxicity;freshwater eutrophication;human toxicity;ionising radiation;marine ecotoxicity;marine eutrophication;metal depletion;natural land transformation;ozone depletion;particulate matter formation;photochemical oxidant formation;terrestrial acidification;terrestrial ecotoxicity;urban land occupation;water depletion;human noise, midpoint;human noise, endpoint
Fuel tank, compressed hydrogen gas, 700bar;0.781387209;37.1806308;11.43756645;0.907982263;0.014262355;12.74402873;3.444823259;0.828348105;0.03941696;3.699391035;0.004689653;2.20E-06;0.082948865;0.093082141;0.151250388;0.002828393;0.249355693;0.115222876;0;0
market group for electricity, low voltage;0.048076051;0.425057737;0.119586439;0.024155168;0.000482392;0.355463187;0.247607867;0.021714566;0.000437809;0.013541951;3.67E-05;4.65E-08;0.000784324;0.000954484;0.002553056;2.27E-05;0.002972226;0.0025673;0;0
market for petrol, low-sulfur;0.014752075;0.75530002;1.418515117;0.004743879;9.80E-05;0.146411334;0.268229458;0.003763294;0.00085283;0.020995236;0.0014357;7.05E-07;0.001822151;0.003818056;0.006277798;7.88E-05;0.007210019;0.001454171;0;0
market for diesel;0.006589247;0.514632805;1.346070906;0.00386768;6.77E-05;0.108157009;0.252218467;0.002887634;0.00070172;0.015575073;0.001397022;6.85E-07;0.00143425;0.003185855;0.004893401;6.49E-05;0.006544416;0.00127089;0;0
market for natural gas, from high pressure network (1-5 bar), at service station;0.005341324;0.582828012;1.31153224;0.012413864;0.000114267;0.165157717;0.032753375;0.005392897;0.000463774;0.014924757;0.000473769;2.95E-07;0.000990489;0.002442719;0.002597646;0.000155627;0.00279414;0.000806629;0;0
Hydrogen, gaseous, 700 bar, from electrolysis, at H2 fuelling station;2.638333163;25.47744417;7.244521291;0.590269663;0.026706074;18.58683963;14.27763993;0.555719189;0.026940742;0.616722294;0.0022758;2.70E-06;0.046748798;0.060836792;0.152814289;0.000712568;0.146978765;0.164715426;0;0
market for tyre wear emissions, passenger car;0;0;0;-0.082296353;0;-3.202536162;0;-0.112097408;-0.000289564;0;0;0;-0.071297802;-3.96E-05;-0.000489;-0.045699996;0;0;0;0
market for brake wear emissions, passenger car;0;0;0;-0.563593167;0;-1190.949363;0;-21.33142475;-6.22E-05;0;0;0;-0.987119959;-0.002886486;-0.035599999;-2.803044056;0;0;0;0
market for road wear emissions, passenger car;0;0;0;0;0;0;0;0;0;0;0;0;-0.500000019;0;0;0;0;0;0;0
market for road;0.194590456;12.52845575;7.884723388;0.111400972;0.003322493;3.419566052;1.819381935;0.10392326;0.028864993;1.0716874;0.008270144;3.49E-06;0.062152097;0.135159032;0.075829868;0.001138448;8.09360467;0.028013321;0;0
CO2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SO2;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.08108;1;0;0;0;0;0
Benzene;0;0;0;3.18E-05;;1.3545;0;8.30E-04;0;0;0;0;0;0.3682;0;9.54E-05;0;0;0;0
CH4;0;25;0;0;0;0;0;0;0;0;0;0;0;0.010135;0;0;0;0;0;0
CO;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0456;0;0;0;0;0;0
HC;0;10.6;0;0.0147;0;20.5;0;0.0108;0;0;0;0;0;0;0;0.11;0;0;0;0
N2O;0;298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NH3;0;0;0;0;0;0;0;0;0.092;0;0;0;0.32;0;2.45;0;0;0;0;0
NMVOC;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
NO2;0;0;0;0;0;0;0;0;0.389;0;0;0;0.22;1;0.56;0;0;0;0;0
Nox;0;0;0;0;0;0;0;0;0.389;0;0;0;0.22;1;0.56;0;0;0;0;0
PM;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
noise, octave 1, day time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31100;1.76026E-08
noise, octave 2, day time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69700;3.94502E-08
noise, octave 3, day time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;167000;9.4522E-08
noise, octave 4, day time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;311000;1.76026E-07
