,powertrain,euro_class,type,Component,hot
105,ICEV-d,2.0,cold start,NOx,0.264954209327698
106,ICEV-d,2.0,cold start,PM2.5,0.0806173458695412
107,ICEV-d,2.0,cold start,Pb,0.0
108,ICEV-d,2.0,diurnal,Benzene,0.0
109,ICEV-d,2.0,diurnal,CH4,0.0
110,ICEV-d,2.0,diurnal,CO,0.0
111,ICEV-d,2.0,diurnal,FC_MJ,0.0
112,ICEV-d,2.0,diurnal,HC,0.0
113,ICEV-d,2.0,diurnal,N2O,0.0
114,ICEV-d,2.0,diurnal,NH3,0.0
115,ICEV-d,2.0,diurnal,NMHC,0.0
116,ICEV-d,2.0,diurnal,NO2,0.0
117,ICEV-d,2.0,diurnal,NOx,0.0
118,ICEV-d,2.0,diurnal,PM2.5,0.0
119,ICEV-d,2.0,diurnal,Pb,0.0
120,ICEV-d,2.0,running losses,Benzene,0.0
121,ICEV-d,2.0,running losses,CH4,0.0
122,ICEV-d,2.0,running losses,CO,0.0
123,ICEV-d,2.0,running losses,FC_MJ,0.0
124,ICEV-d,2.0,running losses,HC,0.0
125,ICEV-d,2.0,running losses,N2O,0.0
126,ICEV-d,2.0,running losses,NH3,0.0
127,ICEV-d,2.0,running losses,NMHC,0.0
128,ICEV-d,2.0,running losses,NO2,0.0
129,ICEV-d,2.0,running losses,NOx,0.0
130,ICEV-d,2.0,running losses,PM2.5,0.0
131,ICEV-d,2.0,running losses,Pb,0.0
132,ICEV-d,2.0,soak,Benzene,0.0
133,ICEV-d,2.0,soak,CH4,0.0
134,ICEV-d,2.0,soak,CO,0.0
135,ICEV-d,2.0,soak,FC_MJ,0.0
136,ICEV-d,2.0,soak,HC,0.0
137,ICEV-d,2.0,soak,N2O,0.0
138,ICEV-d,2.0,soak,NH3,0.0
139,ICEV-d,2.0,soak,NMHC,0.0
140,ICEV-d,2.0,soak,NO2,0.0
141,ICEV-d,2.0,soak,NOx,0.0
142,ICEV-d,2.0,soak,PM2.5,0.0
143,ICEV-d,2.0,soak,Pb,0.0
144,ICEV-d,3.0,cold start,Benzene,0.00369171984493732
145,ICEV-d,3.0,cold start,CH4,0.00757275894284248
146,ICEV-d,3.0,cold start,CO,1.863654255867
147,ICEV-d,3.0,cold start,FC_MJ,1.000411093235015
148,ICEV-d,3.0,cold start,HC,0.315531611442566
149,ICEV-d,3.0,cold start,N2O,0.0
150,ICEV-d,3.0,cold start,NH3,0.0
151,ICEV-d,3.0,cold start,NMHC,0.307958871126175
152,ICEV-d,3.0,cold start,NO2,-0.00252613960765302
153,ICEV-d,3.0,cold start,NOx,-0.00389345386065543
154,ICEV-d,3.0,cold start,PM2.5,0.04118407121859491
155,ICEV-d,3.0,cold start,Pb,0.0
156,ICEV-d,3.0,diurnal,Benzene,0.0
