activity;type;sub_type;train_RER;lorry_RER;barge_RER;train_CH;lorry_CH;barge_CH
market for electric connector, wire clamp;metals;steel/iron;200;100;0;600;50;0
market group for inorganic nitrogen fertiliser, as N;agricultural;N-fertiliser;100;100;900;100;100;900
market for rape seed;agricultural;feedstuffs;0;70;0;0;70;0
market for copper, anode;metals;copper;200;100;0;600;50;0
market for hard coal;fuel;solid;450;0;300;450;0;300
sulfuric acid production;inorganic chemical;sulphuric acid;600;100;0;600;50;0
market for dolomite;mineral;gravel/sand;0;50;0;0;20;0
market for copper oxide;metals;copper;200;100;0;600;50;0
treatment of waste bulk iron, excluding reinforcement, sorting plant;waste;inert material landfill;0;15;0;0;15;0
market for nitrogen, liquid;gases;nitrogen;100;50;0;100;50;0
market for converter, for electric passenger car;metals;steel/iron;200;100;0;600;50;0
treatment of hazardous waste, hazardous waste incineration;waste;municipal waste incineration;0;10;0;0;10;0
market for carbon monoxide;gases;oxygen;100;50;0;100;50;0
market for lubricating oil;fuel;liquid;44;59;670;33;33;0
market for cobalt;metals;copper;200;100;0;600;50;0
market for carbon black;organic chemical;other;600;100;0;600;50;0
treatment of waste plastic, mixture, sanitary landfill;waste;sanitary landfill;0;10;0;0;10;0
treatment of waste mineral wool, inert material landfill;waste;inert material landfill;0;15;0;0;15;0
market for charger, electric passenger car;metals;steel/iron;200;100;0;600;50;0
market for cast iron;metals;steel/iron;200;100;0;600;50;0
market for chromium oxide, flakes;inorganic chemical;other;600;100;0;600;50;0
market for polyethylene, low density, granulate;plastic;polyethylene;200;100;0;200;50;0
market for cable, ribbon cable, 20-pin, with plugs;metals;copper;200;100;0;600;50;0
market for polyurethane, flexible foam;plastic;other;200;100;0;200;50;0
ethylene glycol production;organic chemical;other;600;100;0;600;50;0
market group for light fuel oil;fuel;liquid;44;59;670;33;33;0
market for brass;metals;copper;200;100;0;600;50;0
market for anode, graphite, for lithium-ion battery;metals;copper;200;100;0;600;50;0
treatment of waste asphalt, sanitary landfill;waste;sanitary landfill;0;10;0;0;10;0
market group for diesel;fuel;liquid;44;59;670;33;33;0
market for methanol;fuel;liquid;44;59;670;33;33;0
market for aluminium, wrought alloy;metals;aluminium;200;100;0;200;50;0
market for aluminium, cast alloy;metals;aluminium;200;100;0;200;50;0
gravel production, crushed;mineral;gravel/sand;0;50;0;0;20;0
market for manganese sulfate;inorganic chemical;other;600;100;0;600;50;0
market for nylon 6;plastic;other;200;100;0;200;50;0
market for polyethylene, high density, granulate;plastic;polyethylene;200;100;0;200;50;0
market for packaging film, low density polyethylene;plastic;polyethylene;200;100;0;200;50;0
market for aluminium scrap, new;metals;aluminium;200;100;0;200;50;0
market for potassium sulfate;inorganic chemical;other;600;100;0;600;50;0
carbon black production;organic chemical;other;600;100;0;600;50;0
market for injection moulding;plastic;other;200;100;0;200;50;0
market for corrugated board box;wood;other;200;50;0;200;50;0
market for used powertrain from electric passenger car, manual dismantling;metals;steel/iron;200;100;0;600;50;0
market for polypropylene, granulate;plastic;polypropylene;200;100;0;200;50;0
market for light fuel oil;fuel;liquid;44;59;670;33;33;0
market for polyethylene terephthalate, granulate, amorphous;plastic;polyethylene;200;100;0;200;50;0
market for styrene;inorganic chemical;other;600;100;0;600;50;0
market for potassium hydroxide;inorganic chemical;other;600;100;0;600;50;0
market for diethanolamine;inorganic chemical;other;600;100;0;600;50;0
market for sulfur dioxide, liquid;gases;oxygen;100;50;0;100;50;0
polyvinylchloride production, bulk polymerisation;plastic;polyvinylchloride;200;100;0;200;50;0
production of 2 wt-% potassium iodide solution;inorganic chemical;other;600;100;0;600;50;0
market for sodium chloride, powder;organic chemical;other;600;100;0;600;50;0
market for extrusion, plastic film;plastic;polyethylene;200;100;0;200;50;0
treatment of hard coal ash, residual material landfill;waste;residual material landfill;0;50;0;0;50;0
market for hydrogen, liquid;gases;hydrogen;100;50;0;100;50;0
market for carboxymethyl cellulose, powder;organic chemical;other;600;100;0;600;50;0
market for blow moulding;plastic;polyethylene;200;100;0;200;50;0
treatment of drilling waste, landfarming;waste;inert material landfill;0;15;0;0;15;0
lubricating oil production;fuel;liquid;44;59;670;33;33;0
market for N-methyl-2-pyrrolidone;inorganic chemical;other;600;100;0;600;50;0
market for aluminium oxide, metallurgical;metals;aluminium;200;100;0;200;50;0
market for synthetic rubber;plastic;other;200;100;0;200;50;0
market group for inorganic phosphorus fertiliser, as P2O5;agricultural;P-fertiliser;100;100;400;100;100;400
treatment of waste mineral oil, hazardous waste incineration;waste;municipal waste incineration;0;10;0;0;10;0
market for aluminium alloy, AlLi;metals;aluminium;200;100;0;200;50;0
air separation, cryogenic;gases;oxygen;100;50;0;100;50;0
graphite production;metals;copper;200;100;0;600;50;0
market for sodium hydroxide, without water, in 50% solution state;inorganic chemical;other;600;100;0;600;50;0
market for soda ash, light, crystalline, heptahydrate;inorganic chemical;soda;600;100;0;600;50;0
market for flat glass, uncoated;mineral;glass;600;100;0;600;50;0
electronics production, for control units;metals;steel/iron;200;100;0;600;50;0
lithium hydroxide production;inorganic chemical;other;600;100;0;600;50;0
cobalt production;metals;copper;200;100;0;600;50;0
market for cyclohexane;gases;oxygen;100;50;0;100;50;0
lime production, milled, packed;agricultural;lime;120;120;0;120;120;0
market for silicon, electronics grade;inorganic chemical;other;600;100;0;600;50;0
market for monoethanolamine;inorganic chemical;other;600;100;0;600;50;0
lignite mine operation;fuel;solid;450;0;300;450;0;300
treatment of spent anion exchange resin from potable water production, municipal incineration;waste;municipal waste incineration;0;10;0;0;10;0
cast iron production;metals;steel/iron;200;100;0;600;50;0
market for acrylic acid;inorganic chemical;sulphuric acid;600;100;0;600;50;0
barite production;metals;copper;200;100;0;600;50;0
market for soil pH raising agent, as CaCO3;agricultural;lime;120;120;0;120;120;0
polyethylene production, low density, granulate;plastic;polyethylene;200;100;0;200;50;0
tetrafluoroethylene production;inorganic chemical;other;600;100;0;600;50;0
market for natural gas, high pressure, vehicle grade;gases;oxygen;100;50;0;100;50;0
market for sugar beet seed, for sowing;agricultural;feedstuffs;0;70;0;0;70;0
market for styrene butadiene rubber (SBR);plastic;other;200;100;0;200;50;0
activated bentonite production;mineral;other;600;100;0;600;50;0
market for sodium persulfate;inorganic chemical;other;600;100;0;600;50;0
market for wheat seed, for sowing;agricultural;feedstuffs;0;70;0;0;70;0
glass fibre reinforced plastic production, polyester resin, hand lay-up;plastic;other;200;100;0;200;50;0
market for zeolite, powder;mineral;other;600;100;0;600;50;0
anode production, graphite, for lithium-ion battery;metals;copper;200;100;0;600;50;0
activated silica production;inorganic chemical;other;600;100;0;600;50;0
market for butadiene;organic chemical;other;600;100;0;600;50;0
gravel and sand quarry operation;mineral;gravel/sand;0;50;0;0;20;0
aluminium production, primary, ingot;metals;aluminium;200;100;0;200;50;0
treatment of waste reinforced concrete, collection for final disposal;waste;inert material landfill;0;15;0;0;15;0
market for hydrochloric acid, without water, in 30% solution state;inorganic chemical;hydrochloric acid;200;100;0;200;50;0
aluminium ingot, primary, to aluminium, wrought alloy market;metals;aluminium;200;100;0;200;50;0
market for ammonium sulfate;inorganic chemical;other;600;100;0;600;50;0
treatment of wood ash mixture, pure, municipal incineration with fly ash extraction;waste;municipal waste incineration;0;10;0;0;10;0
aluminium hydroxide production;metals;aluminium;200;100;0;200;50;0
market for chemical, organic;organic chemical;other;600;100;0;600;50;0
market for magnesium sulfate;inorganic chemical;other;600;100;0;600;50;0
market for urea;agricultural;sewage sludge;0;15;0;0;15;0
