country;year;Hydro;Nuclear;Gas;Solar;Wind;Biomass;Coal;Oil;Geothermal;Waste;Biogas CCS;Biomass CCS;Coal CCS;Gas CCS;Wood CCS;"Hydro, reservoir";Gas CCGT;Gas CHP;"Solar, thermal";"Wind, offshore";Lignite
BD;2020;0.009;0.000;0.805;0.004;0.000;0.000;0.013;0.169;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BD;2041;0.000;0.095;0.400;0.000;0.000;0.000;0.211;0.263;0.000;0.032;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BE;2000;0.010;0.580;0.230;0.000;0.000;0.020;0.160;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BE;2005;0.000;0.560;0.290;0.000;0.000;0.030;0.100;0.020;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BE;2010;0.000;0.510;0.350;0.010;0.010;0.060;0.040;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BE;2015;0.020;0.400;0.340;0.050;0.070;0.080;0.040;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BE;2016;0.010;0.420;0.320;0.050;0.090;0.080;0.030;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BE;2020;0.037;0.419;0.100;0.071;0.075;0.034;0.042;0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.010;0.031;0.135;0.000;0.035;0.008
BE;2025;0.011;0.000;0.096;0.140;0.148;0.000;0.074;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.296;0.085;0.000;0.148;0.000
BE;2030;0.022;0.000;0.080;0.159;0.225;0.000;0.059;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.102;0.075;0.000;0.278;0.000
BE;2040;0.022;0.000;0.068;0.156;0.257;0.000;0.050;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.107;0.057;0.000;0.283;0.000
BE;2050;0.022;0.000;0.068;0.156;0.257;0.000;0.050;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.107;0.057;0.000;0.283;0.000
BF;2015;0.020;0.000;0.000;0.010;0.000;0.010;0.000;0.960;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BF;2016;0.020;0.000;0.000;0.010;0.000;0.000;0.000;0.970;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
BF;2020;0.020;0.000;0.000;0.200;0.000;0.000;0.000;0.780;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
