;;agricultural land occupation;climate change;fossil depletion;freshwater ecotoxicity;freshwater eutrophication;human toxicity;ionising radiation;marine ecotoxicity;marine eutrophication;metal depletion;natural land transformation;ozone depletion;particulate matter formation;photochemical oxidant formation;terrestrial acidification;terrestrial ecotoxicity;urban land occupation;water depletion;human noise;Coal;Crude oil;Natural gas;Brown coal;Peat
;;m2.year;kg CO2-eq.;kg oil-eq.;kg 1,4-DC;kg P-eq.;kg 1,4-DC;kg U235-eq.;kg 1,4-DC;kg N-eq.;kg Cu-eq.;m2;kg CFC-11-eq.;kg PM10-eq.;kg NMVOC;kg SO2-eq.;kg 1,4-DC;m2.year;m3;Person*Pa/W;kilogram;kilogram;cubic meter;kilogram;kilogram
_lci_powertrain_charger;market for charger, electric passenger car;1.078811649;28.23042088;7.710151801;2.57990827;0.062142172;105.7654363;2.550837914;2.638835432;0.042674897;1.654350266;0.004760885;2.01E-06;0.093676738;0.130476602;0.208248818;0.01285889;0.590148019;0.165442527;0;8.083258615;1.2497762;2.203489806;2.444055322;0.009108797
_lci_powertrain_combustion_EoL;market for manual dismantling of used passenger car with internal combustion engine;0.004521513;0.00947776;0.002333844;0.000197942;2.82E-06;0.004178482;0.000436241;0.000164633;1.56E-05;0.00010569;1.23E-05;7.29E-10;3.19E-05;4.29E-05;7.45E-05;1.61E-06;0.00086838;2.7E-05;0;0.001609341;0.000906913;0.000578694;0.0002907;1.33721E-06
_lci_powertrain_converter;market for converter, for electric passenger car;1.555778436;40.78062591;10.85389072;3.777960066;0.100766124;165.8157018;3.49686386;3.679109865;0.05696954;1.898346806;0.006541468;3.14E-06;0.120040793;0.183371965;0.268595047;0.011935883;0.886571152;0.230772303;0;11.93898101;1.813844674;2.762899854;3.401952853;0.0123612
_lci_powertrain_electric_engine;market for electric motor, electric passenger car;0.295228266;8.359738898;2.404918605;0.832638592;0.016649253;32.75343498;0.562025106;0.823654317;0.013189996;0.510877309;0.001310956;5.73E-07;0.038555626;0.038935529;0.082667152;0.002586476;0.136581919;0.038030138;0;2.482142226;0.532371441;0.597889965;0.523913578;0.001817196
_lci_powertrain_electric_EoL;market for manual dismantling of used electric passenger car;0.004521513;0.00947776;0.002333844;0.000197942;2.82E-06;0.004178482;0.000436241;0.000164633;1.56E-05;0.00010569;1.23E-05;7.29E-10;3.19E-05;4.29E-05;7.45E-05;1.61E-06;0.00086838;2.7E-05;0;0.001609341;0.000906913;0.000578694;0.0002907;1.34E-06
_lci_powertrain_electric_powertrain_EoL;market for used powertrain from electric passenger car, manual dismantling;-0.004529386;-0.052207137;-0.002551633;-0.008334608;-3.16E-06;-0.044965674;-0.000457177;-0.005926494;-2.29E-05;-0.000108156;-1.24E-05;-8.07E-10;-3.54E-05;-5.67E-05;-8.3E-05;-3.67E-05;-0.000879544;-5.52E-05;0;-0.001650121;-0.000960705;-0.000730004;-0.000299997;-1.38E-06
_lci_powertrain_fuel_cell_ancillary_BoP;Ancillary BoP;0.439378851;7.418006455;2.461271003;0.721536857;0.020315567;37.26899955;0.707794808;0.720781791;0.012669461;1.90851804;0.001250093;9.66E-07;0.030208124;0.036119466;0.067242716;0.002200494;0.174365596;0.04490057;0;1.661132664;0.634570199;0.936619543;0.609253171;0.002984289
_lci_powertrain_fuel_cell_essential_BoP;Essential BoP;0.176551772;6.066231613;2.218508795;0.221817972;0.002623743;2.989561784;0.382999574;0.183280081;0.006514908;0.134409125;0.000749182;7.61E-07;0.017513801;0.025907369;0.026662716;0.000783046;0.082922454;0.02339976;0;1.8189669;0.640258463;0.647900858;0.352821932;0.00136104
_lci_powertrain_fuel_cell_stack;Stack 2020;0.339616253;15.34487094;4.349092692;0.695916593;0.015290068;22.99875328;0.935750416;0.636059905;0.017057391;1.309942108;0.001545577;8.22E-05;0.093826495;0.068834244;0.355375173;0.000911715;0.150593681;0.066428451;0;4.291836623;0.853921885;1.405953424;0.681698109;0.003238608
_lci_powertrain_inverter;market for inverter, for electric passenger car;1.672246983;44.29123552;12.12289664;4.647771113;0.125582388;208.6378975;4.2213102;4.620971139;0.069217989;2.287910419;0.007779242;3.68E-06;0.141595028;0.213720859;0.316099454;0.010177452;1.101188424;0.265995633;0;12.66636618;2.100428778;3.295986254;3.963594967;0.015058504
_lci_powertrain_power_distribution_unit;market for power distribution unit, for electric passenger car;1.634085184;51.09136058;14.30925437;7.289550723;0.207885185;347.8478617;5.631727421;6.925913246;0.090137178;2.773551284;0.009466081;5.16E-06;0.178214591;0.231247809;0.405424928;0.014085979;1.527743311;0.383677039;0;14.02501428;2.520500581;4.219965061;5.051194061;0.020240214
_lci_road;market for road;0.194590456;12.52845575;7.884723388;0.111400972;0.003322493;3.419566052;1.819381935;0.10392326;0.028864993;0.06633745;0.008270144;3.49E-06;0.062152097;0.135159032;0.075829868;0.001138448;8.09360467;0.028013321;0;1.864470698;5.689129586;0.73087089;0.635679638;0.002894988
_lci_storage_battery_BoP;Battery BoP;0.495950189;11.54015505;3.153027826;0.601138033;0.012654008;20.74079054;0.639403117;0.580195511;0.015617395;0.385294421;0.002039195;5.71E-07;0.033595064;0.046881496;0.070934833;0.001499563;0.214011285;0.054852951;0;3.159938801;0.651450261;0.888473128;0.685201094;0.002106364
_lci_storage_battery_cell;Battery cell;1.017139602;28.72221966;8.658770099;1.459879988;0.043100079;75.1414777;3.846633797;1.495884865;0.040380578;1.375755102;0.004079208;1.61E-06;0.143335104;0.115460332;0.415352647;0.005300874;0.409005603;0.558940133;0;8.443525306;1.029464358;3.082204854;3.387902096;0.015493644
_lci_storage_battery_cell_production_electricity;market group for electricity, medium voltage;0.017055437;0.726696869;0.204730375;0.009981139;0.000406241;0.295911811;0.112299057;0.009140113;0.000717794;0.000418381;7.48E-05;3.3E-08;0.001935501;0.001887874;0.003023318;2.74E-05;0.004997301;0.002916515;0;0.233243035;0.015877931;0.060358862;0.101425561;0.000443034
_lci_storage_battery_cell_production_heat;market for heat, central or small-scale, natural gas;0.000158353;0.075984635;0.030332248;0.000200439;3.15E-06;0.003698726;0.000700816;0.000181833;1.91E-05;5.12E-05;1.55E-05;9.61E-09;2.65E-05;7.71E-05;6.31E-05;1.14E-06;7.35E-05;1.89E-05;0;0.001494644;0.00024993;0.032049655;0.000574566;2.41E-06
_lci_storage_cng_tank;glass fibre reinforced plastic production, polyamide, injection moulded;0.242704508;8.462507168;2.913873758;0.030837956;0.000889662;0.638906897;0.392606453;0.025364254;0.011709875;0.001958021;0.000214444;1.63E-07;0.010136949;0.02060534;0.029006403;8.58E-05;0.011256258;0.004862109;0;0.898153963;0.845931603;1.674092694;0.230133904;0.002964586
_lci_storage_fuel_tank;polyethylene production, high density, granulate;0.000181438;1.928779947;1.703234535;0.002094353;2.78E-05;0.021946957;0.000523201;0.001681627;0.001275055;9.01E-05;-4.8E-07;1.15E-09;0.001977469;0.008640915;0.00592755;7.07E-06;0.000191862;0.001105235;0;0.103672209;0.9077817;0.730786736;0.000367266;0.001916154
_lci_storage_h2_tank;Fuel tank, compressed hydrogen gas, 700bar;0.781387209;37.1806308;11.43756645;0.907982263;0.014262355;12.74402873;3.444823259;0.828348105;0.03941696;0.228992305;0.004689653;2.2E-06;0.082948865;0.093082141;0.151250388;0.002828393;0.249355693;0.115222876;0;9.12328889;2.62643917;3.974350082;2.99440528;0.01214102
