;;Human health, Climate change;Human health, Ozone depletion;Human health, Ionizing radiation;Human health, Fine particles;Human health, Summer smog;Human health, Toxicity;Human health, Water consumption;Human health, Human noise;Terrestrial ecosystems, Climate change;Terrestrial ecosystems, Summer smog;Terrestrial ecosystems, Acidification;Terrestrial ecosystems, Toxicity;Terrestrial ecosystems, Water consumption;Terrestrial ecosystems, Land use;Freshwater ecosystems, Climate change;Freshwater ecosystems, Eutrophication;Freshwater ecosystems, Toxicity;Freshwater ecosystems, Water consumption;Marine ecosystems, Toxicity;Marine ecosystems, Eutrophication;Resources, Mineral resources;Resources, Fossil resources
;;DALY;DALY;DALY;DALY;DALY;DALY;DALY;DALY;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;Species.year;USD2013;USD2013
_lci_powertrain_electric_engine;market for electric motor, electric passenger car;7.76E-06;3.04E-10;4.78E-09;2.43E-05;3.54E-08;0.000109;8.44E-08;0;2.34E-08;5.02E-09;1.75E-08;2.95E-14;5.13E-10;3.83E-09;6.40E-13;1.12E-08;5.79E-10;2.30E-14;8.65E-11;2.24E-11;0.118;0.507973
_lci_powertrain_electric_EoL;market for manual dismantling of used electric passenger car;8.80E-09;3.87E-13;3.71E-12;2.01E-08;3.90E-11;1.39E-08;5.99E-11;0;2.65E-11;5.53E-12;1.58E-11;1.84E-17;3.65E-13;4.79E-11;7.25E-16;1.89E-12;1.38E-13;1.63E-17;1.73E-14;2.65E-14;2.44E-05;0.000643398
_lci_powertrain_electric_powertrain_EoL;market for used powertrain from electric passenger car, manual dismantling;-4.84E-08;-4.29E-13;-3.89E-12;-2.23E-08;-5.16E-11;-1.49E-07;-1.23E-10;0;-1.46E-10;-7.31E-12;-1.76E-11;-4.18E-16;-7.45E-13;-4.80E-11;-3.99E-15;-2.12E-12;-5.79E-12;-3.33E-17;-6.22E-13;-3.89E-14;-2.50E-05;-0.000714948
_lci_powertrain_fuel_cell_ancillary_BoP;Ancillary BoP;6.88E-06;5.13E-10;6.02E-09;1.90E-05;3.29E-08;0.000124;9.97E-08;0;2.08E-08;4.66E-09;1.43E-08;2.51E-14;6.06E-10;5.45E-09;5.67E-13;1.36E-08;5.01E-10;2.71E-14;7.57E-11;2.15E-11;0.441;0.628686886
_lci_powertrain_fuel_cell_essential_BoP;Essential BoP;5.63E-06;4.04E-10;3.26E-09;1.10E-05;2.36E-08;9.93E-06;5.19E-08;0;1.70E-08;3.34E-09;5.65E-09;8.93E-15;3.16E-10;2.30E-09;4.64E-13;1.76E-09;1.54E-10;1.41E-14;1.92E-11;1.11E-11;0.0311;0.549663863
_lci_powertrain_fuel_cell_stack;Stack 2020;1.42E-05;4.36E-08;7.95E-09;5.90E-05;6.26E-08;7.64E-05;1.47E-07;0;4.30E-08;8.88E-09;7.53E-08;1.04E-14;8.97E-10;4.35E-09;1.17E-12;1.03E-08;4.84E-10;4.01E-14;6.68E-11;2.90E-11;0.303;0.960075008
_lci_powertrain_inverter;market for inverter, for electric passenger car;4.11E-05;1.95E-09;3.59E-08;8.91E-05;1.94E-07;0.000693;5.91E-07;0;1.24E-07;2.76E-08;6.70E-08;1.16E-13;3.59E-09;2.46E-08;3.39E-12;8.43E-08;3.23E-09;1.61E-13;4.85E-10;1.18E-10;0.529;2.384639455
_lci_powertrain_power_distribution_unit;market for power distribution unit, for electric passenger car;4.74E-05;2.74E-09;4.79E-08;0.000112;2.10E-07;0.00115;8.52E-07;0;1.43E-07;2.98E-08;8.60E-08;1.61E-13;5.18E-09;2.81E-08;3.91E-12;1.40E-07;5.07E-09;2.32E-13;7.27E-10;1.53E-10;0.641;2.901258365
_lci_road;market for road;1.16E-05;1.85E-09;1.55E-08;3.91E-05;1.23E-07;1.14E-05;6.22E-08;0;3.51E-08;1.74E-08;1.61E-08;1.30E-14;3.78E-10;7.36E-08;9.58E-13;2.23E-09;7.74E-11;1.69E-14;1.09E-11;4.91E-11;0.0153;2.881371572
_lci_storage_battery_BoP;Battery BoP;1.07E-05;3.03E-10;5.43E-09;2.11E-05;4.27E-08;6.89E-05;1.22E-07;0;3.23E-08;6.05E-09;1.50E-08;1.71E-14;7.41E-10;6.30E-09;8.83E-13;8.49E-09;4.18E-10;3.31E-14;6.09E-11;2.65E-11;0.089;0.673047488
_lci_storage_battery_cell;Battery cell;2.67E-05;8.55E-10;3.27E-08;9.02E-05;1.05E-07;0.000249;1.24E-06;0;8.04E-08;1.49E-08;8.81E-08;6.04E-14;7.55E-09;1.27E-08;2.20E-12;2.89E-08;1.01E-09;3.38E-13;1.57E-10;6.86E-11;0.318;1.687096602
_lci_storage_cng_tank;glass fibre reinforced plastic production, polyamide, injection moulded;7.85E-06;8.66E-11;3.34E-09;6.38E-06;1.88E-08;2.12E-06;1.08E-08;0;2.37E-08;2.66E-09;6.15E-09;9.78E-16;6.56E-11;2.26E-09;6.47E-13;5.97E-10;2.14E-11;2.94E-15;2.66E-12;1.99E-11;0.000452;0.9213867
_lci_storage_fuel_tank;polyethylene production, high density, granulate;1.79E-06;6.11E-13;4.45E-12;1.24E-06;7.86E-09;7.29E-08;2.45E-09;0;5.40E-09;1.11E-09;1.26E-09;8.06E-17;1.49E-11;3.31E-12;1.48E-13;1.87E-11;1.46E-12;6.68E-16;1.77E-13;2.17E-12;2.08E-05;0.63823159
_lci_storage_h2_tank;Fuel tank, compressed hydrogen gas, 700bar;3.45E-05;1.17E-09;2.93E-08;5.22E-05;8.47E-08;4.23E-05;2.56E-07;0;1.04E-07;1.20E-08;3.21E-08;3.22E-14;1.56E-09;9.15E-09;2.84E-12;9.57E-09;6.31E-10;6.96E-14;8.70E-11;6.70E-11;0.0529;2.708283574
