;;carcinogenic substances into air;energy resources;global warming;heavy metals into air;heavy metals into soil;heavy metals into water;land use;main air pollutants and PM;mineral resources;non radioactive waste to deposit;ozone layer depletion;pesticides into soil;POP into water;radioactive substances into air;radioactive substances into water;radioactive waste to deposit;water pollutants;water resources;noise
;;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP;UBP
_lci_car_maintenance;maintenance, passenger car;84308.05016;78254.11086;477659.3367;170511.6776;4135.859156;81347.20713;3631.534803;252618.0814;1021277.619;98550.19522;883.7039407;13.18928228;14813.28123;0.016709187;765.9197919;68990.21412;38956.02612;5847.024839;0
_lci_direct_noise, octave 5, night time, suburban;noise, octave 5, night time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 5, night time, urban;noise, octave 5, night time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 6, day time, rural;noise, octave 6, day time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 6, day time, suburban;noise, octave 6, day time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 6, day time, urban;noise, octave 6, day time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 6, evening time, rural;noise, octave 6, evening time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 6, evening time, suburban;noise, octave 6, evening time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 6, evening time, urban;noise, octave 6, evening time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 6, night time, rural;noise, octave 6, night time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 6, night time, suburban;noise, octave 6, night time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 6, night time, urban;noise, octave 6, night time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 7, day time, rural;noise, octave 7, day time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 7, day time, suburban;noise, octave 7, day time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 7, day time, urban;noise, octave 7, day time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 7, evening time, rural;noise, octave 7, evening time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 7, evening time, suburban;noise, octave 7, evening time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 7, evening time, urban;noise, octave 7, evening time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 7, night time, rural;noise, octave 7, night time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 7, night time, suburban;noise, octave 7, night time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 7, night time, urban;noise, octave 7, night time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 8, day time, rural;noise, octave 8, day time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 8, day time, suburban;noise, octave 8, day time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 8, day time, urban;noise, octave 8, day time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 8, evening time, rural;noise, octave 8, evening time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 8, evening time, suburban;noise, octave 8, evening time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 8, evening time, urban;noise, octave 8, evening time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 8, night time, rural;noise, octave 8, night time, rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 8, night time, suburban;noise, octave 8, night time, suburban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_noise, octave 8, night time, urban;noise, octave 8, night time, urban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000175
_lci_direct_NOx;Nitrogen oxides;0;0;0;0;0;0;0;39000;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_PM;Particulates, > 2.5 um, and < 10um;0;0;0;0;0;0;0;140000;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_road_wear;market for road wear emissions, passenger car;0;0;0;0;0;0;0;-70000.00261;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_SO2;Sulfur dioxide;0;0;0;0;0;0;0;21000;0;0;0;0;0;0;0;0;0;0;0
_lci_direct_tyre_wear;market for tyre wear emissions, passenger car;-1.127099978;0;0;-10578.59995;-22768.29954;0;0;-9978.269278;0;0;0;0;0;0;0;0;-33.48000033;0;0
_lci_energy_cng;market for natural gas, from high pressure network (1-5 bar), at service station;185.2166097;188.8011676;272.701199;8.812913085;0.427195407;58.18912595;0.952345651;154.212437;7.800979749;2.977458755;1.669150406;0.005574169;24.02740452;2.60E-06;0.132868342;11.96268898;10.41403591;0.820191342;0
_lci_energy_diesel;market for diesel;17.28627928;198.8063341;237.9689136;31.20296981;0.63338025;66.78372657;2.102924788;206.340606;20.02256855;1.863925669;4.853104344;0.010430962;122.3396353;2.02E-05;0.09530469;8.891006181;195.9790061;0.854321951;0
_lci_energy_electricity;market group for electricity, low voltage;22.56677835;33.50233812;196.0227844;26.98104784;4.881368452;7.65226466;2.267256182;115.428432;4.579452555;1.183955599;0.367382264;0.011545815;0.937812779;1.97E-05;1.025931774;92.36883279;15.58838054;3.314089179;0
_lci_energy_h2;Hydrogen, gaseous, 700 bar, from electrolysis, at H2 fuelling station;509.4475992;1971.724443;11749.14839;786.9775895;100.4509435;525.3701732;119.4031847;6847.229585;184.8384635;50.89898654;21.33775393;0.627364577;56.16837335;0.001135291;58.95458714;5307.928213;870.4574118;177.6462184;0
_lci_energy_petrol;market for petrol, low-sulfur;24.29315473;210.1620541;348.8956077;53.65727883;0.853471876;71.68900432;2.534883948;264.3340484;22.4563519;2.205096676;4.99730703;0.012456517;125.3919522;2.14E-05;0.139053317;12.83714022;201.8209118;1.118594924;0
_lci_glider;market for glider, passenger car;1806.353933;295.4902048;2877.646431;1468.959429;37.50455046;1204.992704;35.10357181;2847.823446;996.0171882;657.419566;2.500629117;0.313393324;32.65960034;3.90E-05;2.087162394;187.9210164;213.6117239;33.9037441;0
_lci_glider_lightweighting;Glider lightweighting;-1432.144764;-98.70573739;-1258.952112;306.090624;-8.142766938;358.4159288;-9.696235625;-1398.438233;225.1706896;-6.644812794;-0.685051164;-0.021307841;-15.62662504;-4.16E-06;-0.087239588;-7.893997447;-41.77185004;-12.88283037;0
_lci_powertrain;market for internal combustion engine, passenger car;5045.500878;343.205938;3537.597454;1749.382868;16.37846543;1712.165993;34.52714251;3338.537844;5279.33784;673.9588469;4.460030006;0.072576089;33.47248337;3.97E-05;2.107951086;189.7899119;2276.146356;37.16401614;0
_lci_powertrain_charger;market for charger, electric passenger car;5746.355259;1270.994453;13165.61809;20195.79923;609.2922406;14376.9796;219.176064;13517.16929;10337.28652;564.1370041;16.01006441;5.409685844;144.7686127;0.000202434;11.27538071;1015.050834;2019.556405;129.7312557;0
_lci_powertrain_combustion_EoL;market for manual dismantling of used passenger car with internal combustion engine;2.158113737;0.38722341;4.418904236;1.873193525;0.033406379;0.705707202;0.389290217;5.192466635;8.89078835;2.48381492;0.004140922;0.00027474;0.084150477;3.47E-08;0.001340654;0.120866932;0.224956977;0.032805798;0
_lci_powertrain_converter;market for converter, for electric passenger car;6152.420119;1776.080798;19263.23604;20367.79984;1303.036647;19419.70975;317.8593038;17170.82075;11323.56697;607.6197093;25.3961662;4.532429188;221.6346856;0.000277599;15.41195806;1387.463598;2846.951836;160.9729858;0
_lci_powertrain_electric_engine;market for electric motor, electric passenger car;2599.570469;383.3147402;3899.244039;12111.55037;32.88703419;1368.752518;52.07558575;5313.55193;2844.642237;192.5663733;4.19937329;1.253770756;53.28115681;4.46E-05;2.236442989;201.396707;478.2994683;46.06374515;0
