size,powertrain,euro_class,component,value
Moped <4kW,ICEV-p,3,Propene,0.0557
Moped <4kW,ICEV-p,3,1-Pentene,0.0015
Moped <4kW,ICEV-p,3,Toluene,0.1613
Moped <4kW,ICEV-p,3,m-Xylene,0.0792
Moped <4kW,ICEV-p,3,o-Xylene,0.0337
Moped <4kW,ICEV-p,3,Formaldehyde,0.0249
Moped <4kW,ICEV-p,3,Acetaldehyde,0.0117
Moped <4kW,ICEV-p,3,Benzaldehyde,0.0029
Moped <4kW,ICEV-p,3,Acetone,0.0088
Moped <4kW,ICEV-p,3,Methyl ethyl ketone,0.0015
Moped <4kW,ICEV-p,3,Acrolein,0.0029
Moped <4kW,ICEV-p,3,Styrene,0.0147
Moped <4kW,ICEV-p,3,PAHs,1.92E-11
Moped <4kW,ICEV-p,3,Arsenic,1.66E-13
Moped <4kW,ICEV-p,3,Selenium,1.11E-13
Moped <4kW,ICEV-p,3,Zinc,1.19E-09
Moped <4kW,ICEV-p,3,Copper,2.32E-11
Moped <4kW,ICEV-p,3,Nickel,7.18E-12
Moped <4kW,ICEV-p,3,Chromium,8.83E-12
Moped <4kW,ICEV-p,3,Chromium VI,1.77E-14
Moped <4kW,ICEV-p,3,Mercury,4.81E-12
Moped <4kW,ICEV-p,3,Cadmium,5.96E-12
Moped <4kW,ICEV-p,4,Carbon monoxide,2.9007
Moped <4kW,ICEV-p,4,Nitrogen oxides,0.0584
Moped <4kW,ICEV-p,4,Non-methane hydrocarbon,0.2696
Moped <4kW,ICEV-p,4,Particulate matters 2.5,0.0021
Moped <4kW,ICEV-p,4,Methane,0.0279
Moped <4kW,ICEV-p,4,Ammonia,0.0014
Moped <4kW,ICEV-p,4,Dinitrogen oxide,0.0014
Moped <4kW,ICEV-p,4,Ethane,0.017
Moped <4kW,ICEV-p,4,Propane,0.0037
Moped <4kW,ICEV-p,4,Butane,0.0276
Moped <4kW,ICEV-p,4,Pentane,0.0117
Moped <4kW,ICEV-p,4,Hexane,0.0085
Moped <4kW,ICEV-p,4,Cyclohexane,0.0058
Moped <4kW,ICEV-p,4,Heptane,0.0037
Moped <4kW,ICEV-p,4,Ethene,0.0387
Moped <4kW,ICEV-p,4,Propene,0.0202
Moped <4kW,ICEV-p,4,1-Pentene,0.0005
Moped <4kW,ICEV-p,4,Toluene,0.0584
Moped <4kW,ICEV-p,4,m-Xylene,0.0287
Moped <4kW,ICEV-p,4,o-Xylene,0.0122
Moped <4kW,ICEV-p,4,Formaldehyde,0.009
Moped <4kW,ICEV-p,4,Acetaldehyde,0.0042
Moped <4kW,ICEV-p,4,Benzaldehyde,0.0011
Moped <4kW,ICEV-p,4,Acetone,0.0032
Moped <4kW,ICEV-p,4,Methyl ethyl ketone,0.0005
Moped <4kW,ICEV-p,4,Acrolein,0.0011
Moped <4kW,ICEV-p,4,Styrene,0.0053
Moped <4kW,ICEV-p,4,PAHs,1.92E-11
Moped <4kW,ICEV-p,4,Arsenic,1.66E-13
Moped <4kW,ICEV-p,4,Selenium,1.11E-13
Moped <4kW,ICEV-p,4,Zinc,1.19E-09
Moped <4kW,ICEV-p,4,Copper,2.32E-11
Moped <4kW,ICEV-p,4,Nickel,7.18E-12
Moped <4kW,ICEV-p,4,Chromium,8.83E-12
Moped <4kW,ICEV-p,4,Chromium VI,1.77E-14
Moped <4kW,ICEV-p,4,Mercury,4.81E-12
Moped <4kW,ICEV-p,4,Cadmium,5.96E-12
Moped <4kW,ICEV-p,5,Carbon monoxide,2.9007
Moped <4kW,ICEV-p,5,Nitrogen oxides,0.0584
Moped <4kW,ICEV-p,5,Non-methane hydrocarbon,0.2696
Moped <4kW,ICEV-p,5,Particulate matters 2.5,0.0021
Moped <4kW,ICEV-p,5,Methane,0.0279
Moped <4kW,ICEV-p,5,Ammonia,0.0014
Moped <4kW,ICEV-p,5,Dinitrogen oxide,0.0014
Moped <4kW,ICEV-p,5,Ethane,0.017
Moped <4kW,ICEV-p,5,Propane,0.0037
Moped <4kW,ICEV-p,5,Butane,0.0276
Moped <4kW,ICEV-p,5,Pentane,0.0117
Moped <4kW,ICEV-p,5,Hexane,0.0085
Moped <4kW,ICEV-p,5,Cyclohexane,0.0058
Moped <4kW,ICEV-p,5,Heptane,0.0037
Moped <4kW,ICEV-p,5,Ethene,0.0387
Moped <4kW,ICEV-p,5,Propene,0.0202
Moped <4kW,ICEV-p,5,1-Pentene,0.0005
Moped <4kW,ICEV-p,5,Toluene,0.0584
Moped <4kW,ICEV-p,5,m-Xylene,0.0287
Moped <4kW,ICEV-p,5,o-Xylene,0.0122
Moped <4kW,ICEV-p,5,Formaldehyde,0.009
Moped <4kW,ICEV-p,5,Acetaldehyde,0.0042
Moped <4kW,ICEV-p,5,Benzaldehyde,0.0011
Moped <4kW,ICEV-p,5,Acetone,0.0032
Moped <4kW,ICEV-p,5,Methyl ethyl ketone,0.0005
Moped <4kW,ICEV-p,5,Acrolein,0.0011
Moped <4kW,ICEV-p,5,Styrene,0.0053
Moped <4kW,ICEV-p,5,PAHs,1.92E-11
Moped <4kW,ICEV-p,5,Arsenic,1.66E-13
Moped <4kW,ICEV-p,5,Selenium,1.11E-13
Moped <4kW,ICEV-p,5,Zinc,1.19E-09
Moped <4kW,ICEV-p,5,Copper,2.32E-11
Moped <4kW,ICEV-p,5,Nickel,7.18E-12
Moped <4kW,ICEV-p,5,Chromium,8.83E-12
Moped <4kW,ICEV-p,5,Chromium VI,1.77E-14
Moped <4kW,ICEV-p,5,Mercury,4.81E-12
Moped <4kW,ICEV-p,5,Cadmium,5.96E-12
Scooter <4kW,ICEV-p,1,Carbon monoxide,7.6529
Scooter <4kW,ICEV-p,1,Nitrogen oxides,0.2513
Scooter <4kW,ICEV-p,1,Non-methane hydrocarbon,0.4526
Scooter <4kW,ICEV-p,1,Particulate matters 2.5,0.0457
Scooter <4kW,ICEV-p,1,Methane,0.05
Scooter <4kW,ICEV-p,1,Ammonia,0.0011
Scooter <4kW,ICEV-p,1,Dinitrogen oxide,0.0011
Scooter <4kW,ICEV-p,1,Ethane,0.0285
Scooter <4kW,ICEV-p,1,Propane,0.0062
Scooter <4kW,ICEV-p,1,Butane,0.0463
Scooter <4kW,ICEV-p,1,Pentane,0.0196
Scooter <4kW,ICEV-p,1,Hexane,0.0143
Scooter <4kW,ICEV-p,1,Cyclohexane,0.0098
Scooter <4kW,ICEV-p,1,Heptane,0.0062
Scooter <4kW,ICEV-p,1,Ethene,0.065
Scooter <4kW,ICEV-p,1,Propene,0.0339
Scooter <4kW,ICEV-p,1,1-Pentene,0.0009
Scooter <4kW,ICEV-p,1,Toluene,0.098
Scooter <4kW,ICEV-p,1,m-Xylene,0.0481
Scooter <4kW,ICEV-p,1,o-Xylene,0.0205
Scooter <4kW,ICEV-p,1,Formaldehyde,0.0151
Scooter <4kW,ICEV-p,1,Acetaldehyde,0.0071
Scooter <4kW,ICEV-p,1,Benzaldehyde,0.0018
Scooter <4kW,ICEV-p,1,Acetone,0.0053
Scooter <4kW,ICEV-p,1,Methyl ethyl ketone,0.0009
Scooter <4kW,ICEV-p,1,Acrolein,0.0018
