powertrain,euro_class,component,size,value
ICEV-d,2,Methane,3.5t,0.000689694
ICEV-d,2,Carbon monoxide,3.5t,0.138590907
ICEV-d,2,Hydrocarbon,3.5t,0.02873723
ICEV-d,2,Dinitrogen oxide,3.5t,0.000692715
ICEV-d,2,Ammonia,3.5t,0.000494924
ICEV-d,2,Non-methane hydrocarbon,3.5t,0.028047539
ICEV-d,2,Nitrogen dioxide,3.5t,0.056745095
ICEV-d,2,Nitrogen oxides,3.5t,0.810644231
ICEV-d,2,Lead,3.5t,0
ICEV-d,2,Particulate matters 2.5,3.5t,0.016310862
ICEV-d,2,Benzene,18t,0.00038523
ICEV-d,2,Methane,18t,0.000553623
ICEV-d,2,Carbon monoxide,18t,0.116614901
ICEV-d,2,Hydrocarbon,18t,0.023067642
ICEV-d,2,Dinitrogen oxide,18t,0.000820745
ICEV-d,2,Ammonia,18t,0.000309606
ICEV-d,2,Non-methane hydrocarbon,18t,0.022514019
ICEV-d,2,Nitrogen dioxide,18t,0.053801764
ICEV-d,2,Nitrogen oxides,18t,0.768596627
ICEV-d,2,Lead,18t,0
ICEV-d,2,Particulate matters 2.5,18t,0.013702612
ICEV-d,2,Benzene,26t,0.000509861
ICEV-d,2,Methane,26t,0.000732734
ICEV-d,2,Carbon monoxide,26t,0.113374892
ICEV-d,2,Hydrocarbon,26t,0.0305306
ICEV-d,2,Dinitrogen oxide,26t,0.000586128
ICEV-d,2,Ammonia,26t,0.000221102
ICEV-d,2,Non-methane hydrocarbon,26t,0.029797866
ICEV-d,2,Nitrogen dioxide,26t,0.052363477
ICEV-d,2,Nitrogen oxides,26t,0.748049643
ICEV-d,2,Lead,26t,0
ICEV-d,2,Particulate matters 2.5,26t,0.015118256
ICEV-d,2,Benzene,32t,0.00043327
ICEV-d,2,Methane,32t,0.000622663
ICEV-d,2,Carbon monoxide,32t,0.126834137
ICEV-d,2,Hydrocarbon,32t,0.02594429
ICEV-d,2,Dinitrogen oxide,32t,0.000930054
ICEV-d,2,Ammonia,32t,0.000219874
ICEV-d,2,Non-methane hydrocarbon,32t,0.025321627
ICEV-d,2,Nitrogen dioxide,32t,0.056005084
ICEV-d,2,Nitrogen oxides,32t,0.80007261
ICEV-d,2,Lead,32t,0
ICEV-d,2,Particulate matters 2.5,32t,0.014918348
ICEV-d,2,Benzene,40t,0.000473122
ICEV-d,2,Methane,40t,0.000679936
ICEV-d,2,Carbon monoxide,40t,0.121547776
ICEV-d,2,Hydrocarbon,40t,0.028330681
ICEV-d,2,Dinitrogen oxide,40t,0.000755834
ICEV-d,2,Ammonia,40t,0.000171293
ICEV-d,2,Non-methane hydrocarbon,40t,0.027650745
ICEV-d,2,Nitrogen dioxide,40t,0.057310165
ICEV-d,2,Nitrogen oxides,40t,0.818716643
ICEV-d,2,Lead,40t,0
ICEV-d,2,Particulate matters 2.5,40t,0.014930074
ICEV-d,2,Benzene,60t,0.000461493
ICEV-d,2,Methane,60t,0.000663224
ICEV-d,2,Carbon monoxide,60t,0.126266631
ICEV-d,2,Hydrocarbon,60t,0.027634328
