powertrain,euro_class,component,size,value
ICEV-g,6,Hydrocarbon,3.5t,0.012032441
ICEV-g,6,Non-methane hydrocarbon,3.5t,0.000962595
ICEV-g,6,Nitrogen dioxide,3.5t,0.00753617
ICEV-g,6,Nitrogen oxides,3.5t,0.030144679
ICEV-g,6,Lead,3.5t,0
ICEV-g,6,Particulate matters 2.5,3.5t,0.000406425
ICEV-d,6.1,Benzene,3.5t,3.13026E-05
ICEV-d,6.1,Methane,3.5t,4.49858E-05
ICEV-d,6.1,Carbon monoxide,3.5t,0.006437665
ICEV-d,6.1,Hydrocarbon,3.5t,0.001874408
ICEV-d,6.1,Dinitrogen oxide,3.5t,0.00232627
ICEV-d,6.1,Ammonia,3.5t,0.000960215
ICEV-d,6.1,Non-methane hydrocarbon,3.5t,0.001829422
ICEV-d,6.1,Nitrogen dioxide,3.5t,0.049243132
ICEV-d,6.1,Nitrogen oxides,3.5t,0.175868338
ICEV-d,6.1,Lead,3.5t,0
ICEV-d,6.1,Particulate matters 2.5,3.5t,0.000190935
ICEV-d,6.1,Benzene,18t,3.68107E-05
ICEV-d,6.1,Methane,18t,5.29016E-05
ICEV-d,6.1,Carbon monoxide,18t,0.010012942
ICEV-d,6.1,Hydrocarbon,18t,0.002204235
ICEV-d,6.1,Dinitrogen oxide,18t,0.003009196
ICEV-d,6.1,Ammonia,18t,0.000851168
ICEV-d,6.1,Non-methane hydrocarbon,18t,0.002151333
ICEV-d,6.1,Nitrogen dioxide,18t,0.048082987
ICEV-d,6.1,Nitrogen oxides,18t,0.171724951
ICEV-d,6.1,Lead,18t,0
ICEV-d,6.1,Particulate matters 2.5,18t,0.000209781
ICEV-d,6.1,Benzene,26t,3.96987E-05
ICEV-d,6.1,Methane,26t,5.70521E-05
ICEV-d,6.1,Carbon monoxide,26t,0.002914299
ICEV-d,6.1,Hydrocarbon,26t,0.00237717
ICEV-d,6.1,Dinitrogen oxide,26t,0.002129633
ICEV-d,6.1,Ammonia,26t,0.00081234
ICEV-d,6.1,Non-methane hydrocarbon,26t,0.002320118
ICEV-d,6.1,Nitrogen dioxide,26t,0.047933991
ICEV-d,6.1,Nitrogen oxides,26t,0.171192828
ICEV-d,6.1,Lead,26t,0
ICEV-d,6.1,Particulate matters 2.5,26t,0.000226341
ICEV-d,6.1,Benzene,32t,3.17818E-05
ICEV-d,6.1,Methane,32t,4.56744E-05
ICEV-d,6.1,Carbon monoxide,32t,0.00613751
ICEV-d,6.1,Hydrocarbon,32t,0.001903102
ICEV-d,6.1,Dinitrogen oxide,32t,0.003221954
ICEV-d,6.1,Ammonia,32t,0.000798191
ICEV-d,6.1,Non-methane hydrocarbon,32t,0.001857428
ICEV-d,6.1,Nitrogen dioxide,32t,0.047775928
ICEV-d,6.1,Nitrogen oxides,32t,0.170628315
ICEV-d,6.1,Lead,32t,0
ICEV-d,6.1,Particulate matters 2.5,32t,0.000205526
ICEV-d,6.1,Benzene,40t,3.35577E-05
ICEV-d,6.1,Methane,40t,4.82266E-05
ICEV-d,6.1,Carbon monoxide,40t,0.004109642
ICEV-d,6.1,Hydrocarbon,40t,0.00200944
ICEV-d,6.1,Dinitrogen oxide,40t,0.002729423
ICEV-d,6.1,Ammonia,40t,0.000954022
ICEV-d,6.1,Non-methane hydrocarbon,40t,0.001961214
ICEV-d,6.1,Nitrogen dioxide,40t,0.050466081
ICEV-d,6.1,Nitrogen oxides,40t,0.180236002
ICEV-d,6.1,Lead,40t,0
ICEV-d,6.1,Particulate matters 2.5,40t,0.000210927
ICEV-d,6.1,Benzene,60t,3.29682E-05
ICEV-d,6.1,Methane,60t,4.73794E-05
ICEV-d,6.1,Carbon monoxide,60t,0.004006778
ICEV-d,6.1,Hydrocarbon,60t,0.001974143
ICEV-d,6.1,Dinitrogen oxide,60t,0.002183316
ICEV-d,6.1,Ammonia,60t,0.000720111
ICEV-d,6.1,Non-methane hydrocarbon,60t,0.001926763
ICEV-d,6.1,Nitrogen dioxide,60t,0.052042815
ICEV-d,6.1,Nitrogen oxides,60t,0.185867191
ICEV-d,6.1,Lead,60t,0
ICEV-d,6.1,Particulate matters 2.5,60t,0.000213184
ICEV-d,6.1,Benzene,7.5t,3.2375E-05
ICEV-d,6.1,Methane,7.5t,4.65269E-05
ICEV-d,6.1,Carbon monoxide,7.5t,0.005352255
ICEV-d,6.1,Hydrocarbon,7.5t,0.00193862
ICEV-d,6.1,Dinitrogen oxide,7.5t,0.003762394
ICEV-d,6.1,Ammonia,7.5t,0.000955769
ICEV-d,6.1,Non-methane hydrocarbon,7.5t,0.001892093
ICEV-d,6.1,Nitrogen dioxide,7.5t,0.044305771
ICEV-d,6.1,Nitrogen oxides,7.5t,0.158234892
ICEV-d,6.1,Lead,7.5t,0
ICEV-d,6.1,Particulate matters 2.5,7.5t,0.000209234
ICEV-g,4,Benzene,18t,0
ICEV-g,4,Methane,18t,0.047311339
ICEV-g,4,Carbon monoxide,18t,0.090414776
ICEV-g,4,Hydrocarbon,18t,0.05142537
ICEV-g,4,Non-methane hydrocarbon,18t,0.004114029
ICEV-g,4,Nitrogen dioxide,18t,0.15346441
ICEV-g,4,Nitrogen oxides,18t,0.613857641
ICEV-g,4,Lead,18t,0
ICEV-g,4,Particulate matters 2.5,18t,0.000353135
ICEV-g,5,Benzene,18t,0
ICEV-g,5,Methane,18t,0.022610088
ICEV-g,5,Carbon monoxide,18t,0.052087487
ICEV-g,5,Hydrocarbon,18t,0.024576181
ICEV-g,5,Non-methane hydrocarbon,18t,0.001966094
ICEV-g,5,Nitrogen dioxide,18t,0.023681259
ICEV-g,5,Nitrogen oxides,18t,0.094725037
ICEV-g,5,Lead,18t,0
ICEV-g,5,Particulate matters 2.5,18t,0.000406425
ICEV-g,6,Benzene,18t,0
ICEV-g,6,Methane,18t,0.011069846
ICEV-g,6,Carbon monoxide,18t,0.045409835
ICEV-g,6,Hydrocarbon,18t,0.012032441
ICEV-g,6,Non-methane hydrocarbon,18t,0.000962595
ICEV-g,6,Nitrogen dioxide,18t,0.00753617
ICEV-g,6,Nitrogen oxides,18t,0.030144679
ICEV-g,6,Lead,18t,0
ICEV-g,6,Particulate matters 2.5,18t,0.000406425
ICEV-g,4,Benzene,26t,0
ICEV-g,4,Methane,26t,0.047311339
ICEV-g,4,Carbon monoxide,26t,0.090414776
ICEV-g,4,Hydrocarbon,26t,0.05142537
ICEV-g,4,Non-methane hydrocarbon,26t,0.004114029
ICEV-g,4,Nitrogen dioxide,26t,0.15346441
ICEV-g,4,Nitrogen oxides,26t,0.613857641
ICEV-g,4,Lead,26t,0
ICEV-g,4,Particulate matters 2.5,26t,0.000353135
ICEV-g,5,Benzene,26t,0
ICEV-g,5,Methane,26t,0.022610088
ICEV-g,5,Carbon monoxide,26t,0.052087487
ICEV-g,5,Hydrocarbon,26t,0.024576181
ICEV-g,5,Non-methane hydrocarbon,26t,0.001966094
ICEV-g,5,Nitrogen dioxide,26t,0.023681259
ICEV-g,5,Nitrogen oxides,26t,0.094725037
ICEV-g,5,Lead,26t,0
ICEV-g,5,Particulate matters 2.5,26t,0.000406425
ICEV-g,6,Benzene,26t,0
ICEV-g,6,Methane,26t,0.011069846
ICEV-g,6,Carbon monoxide,26t,0.045409835
ICEV-g,6,Hydrocarbon,26t,0.012032441
ICEV-g,6,Non-methane hydrocarbon,26t,0.000962595
ICEV-g,6,Nitrogen dioxide,26t,0.00753617
ICEV-g,6,Nitrogen oxides,26t,0.030144679
ICEV-g,6,Lead,26t,0
ICEV-g,6,Particulate matters 2.5,26t,0.000406425
ICEV-g,4,Benzene,32t,0
ICEV-g,4,Methane,32t,0.047311339
ICEV-g,4,Carbon monoxide,32t,0.090414776
ICEV-g,4,Hydrocarbon,32t,0.05142537
ICEV-g,4,Non-methane hydrocarbon,32t,0.004114029
ICEV-g,4,Nitrogen dioxide,32t,0.15346441
ICEV-g,4,Nitrogen oxides,32t,0.613857641
ICEV-g,4,Lead,32t,0
ICEV-g,4,Particulate matters 2.5,32t,0.000353135
ICEV-g,5,Benzene,32t,0
ICEV-g,5,Methane,32t,0.022610088
ICEV-g,5,Carbon monoxide,32t,0.052087487
ICEV-g,5,Hydrocarbon,32t,0.024576181
ICEV-g,5,Non-methane hydrocarbon,32t,0.001966094
ICEV-g,5,Nitrogen dioxide,32t,0.023681259
ICEV-g,5,Nitrogen oxides,32t,0.094725037
ICEV-g,5,Lead,32t,0
ICEV-g,5,Particulate matters 2.5,32t,0.000406425
ICEV-g,6,Benzene,32t,0
ICEV-g,6,Methane,32t,0.011069846
ICEV-g,6,Carbon monoxide,32t,0.045409835
ICEV-g,6,Hydrocarbon,32t,0.012032441
ICEV-g,6,Non-methane hydrocarbon,32t,0.000962595
ICEV-g,6,Nitrogen dioxide,32t,0.00753617
ICEV-g,6,Nitrogen oxides,32t,0.030144679
ICEV-g,6,Lead,32t,0
ICEV-g,6,Particulate matters 2.5,32t,0.000406425
ICEV-g,4,Benzene,40t,0
ICEV-g,4,Methane,40t,0.047311339
ICEV-g,4,Carbon monoxide,40t,0.090414776
ICEV-g,4,Hydrocarbon,40t,0.05142537
ICEV-g,4,Non-methane hydrocarbon,40t,0.004114029
ICEV-g,4,Nitrogen dioxide,40t,0.15346441
ICEV-g,4,Nitrogen oxides,40t,0.613857641
ICEV-g,4,Lead,40t,0
ICEV-g,4,Particulate matters 2.5,40t,0.000353135
ICEV-g,5,Benzene,40t,0
ICEV-g,5,Methane,40t,0.022610088
ICEV-g,5,Carbon monoxide,40t,0.052087487
ICEV-g,5,Hydrocarbon,40t,0.024576181
ICEV-g,5,Non-methane hydrocarbon,40t,0.001966094
ICEV-g,5,Nitrogen dioxide,40t,0.023681259
ICEV-g,5,Nitrogen oxides,40t,0.094725037
ICEV-g,5,Lead,40t,0
ICEV-g,5,Particulate matters 2.5,40t,0.000406425
ICEV-g,6,Benzene,40t,0
ICEV-g,6,Methane,40t,0.011069846
ICEV-g,6,Carbon monoxide,40t,0.045409835
ICEV-g,6,Hydrocarbon,40t,0.012032441
ICEV-g,6,Non-methane hydrocarbon,40t,0.000962595
ICEV-g,6,Nitrogen dioxide,40t,0.00753617
ICEV-g,6,Nitrogen oxides,40t,0.030144679
ICEV-g,6,Lead,40t,0
ICEV-g,6,Particulate matters 2.5,40t,0.000406425
ICEV-g,4,Benzene,60t,0
ICEV-g,4,Methane,60t,0.047311339
ICEV-g,4,Carbon monoxide,60t,0.090414776
ICEV-g,4,Hydrocarbon,60t,0.05142537
ICEV-g,4,Non-methane hydrocarbon,60t,0.004114029
ICEV-g,4,Nitrogen dioxide,60t,0.15346441
ICEV-g,4,Nitrogen oxides,60t,0.613857641
ICEV-g,4,Lead,60t,0
ICEV-g,4,Particulate matters 2.5,60t,0.000353135
ICEV-g,5,Benzene,60t,0
ICEV-g,5,Methane,60t,0.022610088
ICEV-g,5,Carbon monoxide,60t,0.052087487
ICEV-g,5,Hydrocarbon,60t,0.024576181
ICEV-g,5,Non-methane hydrocarbon,60t,0.001966094
ICEV-g,5,Nitrogen dioxide,60t,0.023681259
ICEV-g,5,Nitrogen oxides,60t,0.094725037
ICEV-g,5,Lead,60t,0
ICEV-g,5,Particulate matters 2.5,60t,0.000406425
ICEV-g,6,Benzene,60t,0
ICEV-g,6,Methane,60t,0.011069846
ICEV-g,6,Carbon monoxide,60t,0.045409835
ICEV-g,6,Hydrocarbon,60t,0.012032441
ICEV-g,6,Non-methane hydrocarbon,60t,0.000962595
ICEV-g,6,Nitrogen dioxide,60t,0.00753617
ICEV-g,6,Nitrogen oxides,60t,0.030144679
ICEV-g,6,Lead,60t,0
ICEV-g,6,Particulate matters 2.5,60t,0.000406425
ICEV-g,4,Benzene,7.5t,0
ICEV-g,4,Methane,7.5t,0.047311339
ICEV-g,4,Carbon monoxide,7.5t,0.090414776
ICEV-g,4,Hydrocarbon,7.5t,0.05142537
ICEV-g,4,Non-methane hydrocarbon,7.5t,0.004114029
ICEV-g,4,Nitrogen dioxide,7.5t,0.15346441
ICEV-g,4,Nitrogen oxides,7.5t,0.613857641
ICEV-g,4,Lead,7.5t,0
ICEV-g,4,Particulate matters 2.5,7.5t,0.000353135
ICEV-g,5,Benzene,7.5t,0
ICEV-g,5,Methane,7.5t,0.022610088
ICEV-g,5,Carbon monoxide,7.5t,0.052087487
ICEV-g,5,Hydrocarbon,7.5t,0.024576181
ICEV-g,5,Non-methane hydrocarbon,7.5t,0.001966094
ICEV-g,5,Nitrogen dioxide,7.5t,0.023681259
ICEV-g,5,Nitrogen oxides,7.5t,0.094725037
ICEV-g,5,Lead,7.5t,0
ICEV-g,5,Particulate matters 2.5,7.5t,0.000406425
ICEV-g,6,Benzene,7.5t,0
ICEV-g,6,Methane,7.5t,0.011069846
ICEV-g,6,Carbon monoxide,7.5t,0.045409835
ICEV-g,6,Hydrocarbon,7.5t,0.012032441
ICEV-g,6,Non-methane hydrocarbon,7.5t,0.000962595
ICEV-g,6,Nitrogen dioxide,7.5t,0.00753617
ICEV-g,6,Nitrogen oxides,7.5t,0.030144679
ICEV-g,6,Lead,7.5t,0
ICEV-g,6,Particulate matters 2.5,7.5t,0.000406425
