Time;Urban, 9m;Urban, 13m;Coach, 13m;Urban, 13m, double deck;Coach, 13m, double deck;Urban, 18m
92;0.026;0.026;0.011717;0.026;0.01043;0.026
93;0.025786;0.026;0.011419;0.02571;0.009791;0.02573
94;0.025033;0.025152;0.01043;0.024841;0.009143;0.024904
95;0.023343;0.023989;0.010245;0.022996;0.008796;0.023125
96;0.02126;0.022091;0.009236;0.020848;0.008113;0.021057
97;0.018706;0.019876;0.009056;0.018051;0.008113;0.018408
98;0.016577;0.017732;0.008291;0.016066;0.008113;0.016359
99;0.01466;0.015845;0.008113;0.014337;0.008113;0.014502
100;0.013545;0.014258;0.008113;0.013289;0.008113;0.013435
101;0.012866;0.013228;0.008113;0.012668;0.008113;0.012797
102;0.012064;0.012612;0.008113;0.012006;0.008113;0.012024
103;0.012;0.012;0.008113;0.012;0.008113;0.012
104;0.011593;0.012;0.008113;0.011337;0.008113;0.011483
105;0.011;0.011275;0.008113;0.010919;0.008113;0.011
106;0.01019;0.010803;0.008113;0.010015;0.008113;0.01008
107;0.009362;0.009977;0.008113;0.009106;0.008113;0.009252
108;0.008297;0.009019;0.008113;0.007864;0.008113;0.008132
109;0.006946;0.007848;0.008113;0.006668;0.008113;0.006821
110;0.00595;0.006621;0.008113;0.005639;0.008113;0.005801
111;0.005;0.00557;0.008113;0.00501;0.008113;0.004989
112;0.004475;0.004962;0.008113;0.004282;0.008113;0.004376
113;0.004;0.004195;0.008113;0.004;0.008113;0.004
114;0.004;0.004;0.008113;0.004;0.008113;0.004
115;0.004456;0.004;0.008113;0.004445;0.008113;0.00456
116;0.004994;0.004767;0.008113;0.005;0.008084;0.005
117;0.005;0.005;0.008113;0.005;0.007369;0.005
118;0.005114;0.005;0.008113;0.00511;0.007063;0.005189
119;0.005882;0.005281;0.007786;0.005884;0.007063;0.005934
120;0.006;0.006;0.007063;0.006;0.0069;0.006
121;0.006634;0.00603;0.007063;0.006638;0.00587;0.006763
122;0.007;0.006861;0.007052;0.007;0.00587;0.007
123;0.007;0.007;0.006225;0.007;0.00587;0.007
124;0.007;0.007;0.00587;0.007;0.00523;0.007
125;0.007;0.007;0.00587;0.007;0.004677;0.007
126;0.007;0.007;0.00568;0.007;0.004677;0.007
127;0.007;0.007;0.004734;0.007;0.00459;0.007
128;0.007;0.007;0.004677;0.007;0.003647;0.007
129;0.007;0.007;0.004677;0.007;0.003484;0.007
130;0.007;0.007;0.004067;0.007;0.003484;0.007
131;0.007;0.007;0.003484;0.007;0.003484;0.007
132;0.007;0.007;0.003484;0.007;0.003484;0.007
